time;copter_pitch_angle;copter_pitch_angle_kal;copter_pitch_angle_komp;copter_roll_angle;copter_roll_angle_kal;copter_roll_angle_komp;speed_test;
9,294;-1,1875;-1,1674062013626099;-1,1714446544647217;-31,375;-31,3792781829834;-31,388389587402344;100;
9,296;-1,1875;-1,1674062013626099;-1,1714446544647217;-31,375;-31,3792781829834;-31,388389587402344;100;
9,298;-1,1875;-1,1688225269317627;-1,1723039150238037;-31,375;-31,379701614379883;-31,388425827026367;100;
9,3;-1,1875;-1,1688225269317627;-1,1723039150238037;-31,375;-31,379701614379883;-31,388425827026367;100;
9,303;-1,1875;-1,1658862829208374;-1,1705198287963867;-31,375;-31,38127326965332;-31,390058517456055;100;
9,306;-1,1875;-1,1658862829208374;-1,1705198287963867;-31,375;-31,38127326965332;-31,390058517456055;100;
9,309;-1,1875;-1,1658862829208374;-1,1705198287963867;-31,375;-31,38127326965332;-31,390058517456055;100;
9,311;-1,1875;-1,1658862829208374;-1,1705198287963867;-31,375;-31,38127326965332;-31,390058517456055;100;
9,314;-1,1875;-1,1658862829208374;-1,1705198287963867;-31,375;-31,38127326965332;-31,390058517456055;100;
9,316;-1,1875;-1,1622892618179321;-1,1705198287963867;-31,375;-31,376964569091797;-31,386730194091797;100;
9,318;-1,1875;-1,1622892618179321;-1,1681146621704102;-31,375;-31,376964569091797;-31,386730194091797;100;
9,321;-1,1875;-1,1622892618179321;-1,1681146621704102;-31,375;-31,376964569091797;-31,386730194091797;100;
9,324;-1,1875;-1,1622892618179321;-1,1681146621704102;-31,375;-31,376964569091797;-31,386730194091797;100;
9,326;-1,1875;-1,1622892618179321;-1,1681146621704102;-31,375;-31,376964569091797;-31,386730194091797;100;
9,328;-1,1875;-1,1630958318710327;-1,1687623262405396;-31,375;-31,37495231628418;-31,384723663330078;100;
9,33;-1,1875;-1,1630958318710327;-1,1687623262405396;-31,375;-31,37495231628418;-31,384723663330078;100;
9,332;-1,1875;-1,1630958318710327;-1,1687623262405396;-31,375;-31,37495231628418;-31,384723663330078;100;
9,334;-1,1875;-1,1630958318710327;-1,1687623262405396;-31,375;-31,37495231628418;-31,384723663330078;100;
9,337;-1,1875;-1,1614792346954346;-1,1677002906799316;-31,375;-31,37482261657715;-31,384584426879883;100;
9,339;-1,1875;-1,1614792346954346;-1,1677002906799316;-31,375;-31,37482261657715;-31,384584426879883;100;
9,342;-1,1875;-1,1614792346954346;-1,1677002906799316;-31,375;-31,37482261657715;-31,384584426879883;100;
9,344;-1,1875;-1,1614792346954346;-1,1677002906799316;-31,375;-31,37482261657715;-31,384584426879883;100;
9,346;-1,1875;-1,1614792346954346;-1,1677002906799316;-31,375;-31,37482261657715;-31,384584426879883;100;
9,348;-1,1875;-1,1622370481491089;-1,1679964065551758;-31,375;-31,37343406677246;-31,38385772705078;100;
9,35;-1,1875;-1,1622370481491089;-1,1679964065551758;-31,375;-31,37343406677246;-31,38385772705078;100;
9,352;-1,1875;-1,1605379581451416;-1,166947603225708;-31,375;-31,37238121032715;-31,382713317871094;100;
9,355;-1,1875;-1,1605379581451416;-1,166947603225708;-31,375;-31,37238121032715;-31,382713317871094;100;
9,357;-1,1875;-1,1605379581451416;-1,166947603225708;-31,375;-31,37238121032715;-31,382713317871094;100;
9,359;-1,1875;-1,1605379581451416;-1,166947603225708;-31,375;-31,37238121032715;-31,382713317871094;100;
9,361;-1,1875;-1,1605379581451416;-1,166947603225708;-31,375;-31,37238121032715;-31,382713317871094;100;
9,363;-1,1875;-1,1605379581451416;-1,166947603225708;-31,375;-31,37238121032715;-31,382713317871094;100;
9,365;-1,1875;-1,1605379581451416;-1,166947603225708;-31,375;-31,37238121032715;-31,382713317871094;100;
9,367;-1,1875;-1,164304494857788;-1,1691609621047974;-31,375;-31,37751579284668;-31,38627052307129;100;
9,369;-1,1875;-1,164304494857788;-1,1691609621047974;-31,375;-31,37751579284668;-31,38627052307129;100;
9,371;-1,1875;-1,164304494857788;-1,1691609621047974;-31,375;-31,37751579284668;-31,38627052307129;100;
9,374;-1,1875;-1,164304494857788;-1,1691609621047974;-31,375;-31,37751579284668;-31,38627052307129;100;
9,376;-1,1875;-1,164304494857788;-1,1691609621047974;-31,375;-31,37751579284668;-31,38627052307129;100;
9,379;-1,1875;-1,1614153385162354;-1,1680022478103638;-31,375;-31,377338409423828;-31,386058807373047;100;
9,381;-1,1875;-1,1614153385162354;-1,1680022478103638;-31,375;-31,377338409423828;-31,386058807373047;100;
9,383;-1,1875;-1,1614153385162354;-1,1680022478103638;-31,375;-31,377338409423828;-31,386058807373047;100;
9,385;-1,1875;-1,1614153385162354;-1,1680022478103638;-31,375;-31,377338409423828;-31,386058807373047;100;
9,387;-1,1875;-1,16163969039917;-1,1678308248519897;-31,375;-31,377498626708984;-31,38590431213379;100;
9,39;-1,1875;-1,16163969039917;-1,1678308248519897;-31,375;-31,377498626708984;-31,38590431213379;100;
9,392;-1,1875;-1,16163969039917;-1,1678308248519897;-31,375;-31,377498626708984;-31,38590431213379;100;
9,395;-1,1875;-1,16163969039917;-1,1678308248519897;-31,375;-31,377498626708984;-31,38590431213379;100;
9,397;-1,1875;-1,1576709747314453;-1,1654350757598877;-31,375;-31,380136489868164;-31,38734245300293;100;
9,399;-1,1875;-1,1576709747314453;-1,1654350757598877;-31,375;-31,380136489868164;-31,38734245300293;100;
9,402;-1,1875;-1,1585159301757812;-1,1657285690307617;-31,375;-31,380849838256836;-31,387531280517578;100;
9,405;-1,1875;-1,1585159301757812;-1,1657285690307617;-31,375;-31,380849838256836;-31,387531280517578;100;
9,408;-1,1875;-1,1585159301757812;-1,1657285690307617;-31,375;-31,380849838256836;-31,387531280517578;100;
9,41;-1,1875;-1,1585159301757812;-1,1657285690307617;-31,375;-31,380849838256836;-31,387531280517578;100;
9,412;-1,1875;-1,1585159301757812;-1,1657285690307617;-31,375;-31,380849838256836;-31,387531280517578;100;
9,414;-1,1875;-1,1585159301757812;-1,1657285690307617;-31,375;-31,380849838256836;-31,387531280517578;100;
9,417;-1,1875;-1,1592594385147095;-1,1662708520889282;-31,375;-31,378755569458008;-31,38587188720703;100;
9,419;-1,1875;-1,1592594385147095;-1,1662708520889282;-31,375;-31,378755569458008;-31,38587188720703;100;
9,421;-1,1875;-1,1592594385147095;-1,1662708520889282;-31,375;-31,378755569458008;-31,38587188720703;100;
9,424;-1,1875;-1,1592594385147095;-1,1662708520889282;-31,375;-31,378755569458008;-31,38587188720703;100;
9,426;-1,1875;-1,1592594385147095;-1,1662708520889282;-31,375;-31,378755569458008;-31,38587188720703;100;
9,428;-1,1875;-1,156491994857788;-1,1645079851150513;-31,375;-31,38225555419922;-31,388301849365234;100;
9,431;-1,1875;-1,156491994857788;-1,1645079851150513;-31,375;-31,38225555419922;-31,388301849365234;100;
9,433;-1,1875;-1,156491994857788;-1,1645079851150513;-31,375;-31,38225555419922;-31,388301849365234;100;
9,435;-1,1875;-1,156491994857788;-1,1645079851150513;-31,375;-31,38225555419922;-31,388301849365234;100;
