time;copter_roll_angle;kd;ki;kp;REF_ROLL_ANGLE;SS;
0,769;-31,125;12;0,000009999999747378752;2,5;0;0;
0,772;-31,125;12;0,000009999999747378752;2,5;0;0;
0,775;-31,125;12;0,000009999999747378752;2,5;0;0;
0,778;-31,125;12;0,000009999999747378752;2,5;0;0;
0,781;-31,125;12;0,000009999999747378752;2,5;0;0;
0,784;-31,125;12;0,000009999999747378752;2,5;0;0;
0,787;-31,125;12;0,000009999999747378752;2,5;0;0;
0,79;-31,125;12;0,000009999999747378752;2,5;0;0;
0,793;-31,125;12;0,000009999999747378752;2,5;0;0;
0,795;-31,125;12;0,000009999999747378752;2,5;0;0;
0,798;-31,125;12;0,000009999999747378752;2,5;0;0;
0,801;-31,125;12;0,000009999999747378752;2,5;0;0;
0,803;-31,125;12;0,000009999999747378752;2,5;0;0;
0,807;-31,125;12;0,000009999999747378752;2,5;0;0;
0,81;-31,125;12;0,000009999999747378752;2,5;0;0;
0,813;-31,125;12;0,000009999999747378752;2,5;0;0;
0,815;-31,125;12;0,000009999999747378752;2,5;0;0;
0,818;-31,125;12;0,000009999999747378752;2,5;0;0;
0,822;-31,125;12;0,000009999999747378752;2,5;0;0;
0,825;-31,125;12;0,000009999999747378752;2,5;0;0;
0,828;-31,125;12;0,000009999999747378752;2,5;0;0;
0,83;-31,125;12;0,000009999999747378752;2,5;0;0;
0,833;-31,125;12;0,000009999999747378752;2,5;0;0;
0,836;-31,125;12;0,000009999999747378752;2,5;0;0;
0,839;-31,125;12;0,000009999999747378752;2,5;0;0;
0,842;-31,125;12;0,000009999999747378752;2,5;0;0;
0,846;-31,125;12;0,000009999999747378752;2,5;0;0;
0,849;-31,125;12;0,000009999999747378752;2,5;0;0;
0,852;-31,125;12;0,000009999999747378752;2,5;0;0;
0,855;-31,125;12;0,000009999999747378752;2,5;0;0;
0,858;-31,125;12;0,000009999999747378752;2,5;0;0;
0,861;-31,125;12;0,000009999999747378752;2,5;0;0;
0,864;-31,125;12;0,000009999999747378752;2,5;0;0;
0,866;-31,125;12;0,000009999999747378752;2,5;0;0;
0,87;-31,125;12;0,000009999999747378752;2,5;0;0;
0,873;-31,125;12;0,000009999999747378752;2,5;0;0;
0,876;-31,125;12;0,000009999999747378752;2,5;0;0;
0,879;-31,125;12;0,000009999999747378752;2,5;0;0;
0,882;-31,125;12;0,000009999999747378752;2,5;0;0;
0,884;-31,125;12;0,000009999999747378752;2,5;0;0;
0,887;-31,125;12;0,000009999999747378752;2,5;0;0;
0,89;-31,125;12;0,000009999999747378752;2,5;0;0;
0,893;-31,125;12;0,000009999999747378752;2,5;0;0;
0,896;-31,125;12;0,000009999999747378752;2,5;0;0;
0,899;-31,125;12;0,000009999999747378752;2,5;0;0;
0,902;-31,125;12;0,000009999999747378752;2,5;0;0;
0,905;-31,125;12;0,000009999999747378752;2,5;0;0;
0,908;-31,125;12;0,000009999999747378752;2,5;0;0;
0,911;-31,125;12;0,000009999999747378752;2,5;0;0;
0,913;-31,125;12;0,000009999999747378752;2,5;0;0;
0,916;-31,125;12;0,000009999999747378752;2,5;0;0;
0,918;-31,125;12;0,000009999999747378752;2,5;0;0;
0,921;-31,125;12;0,000009999999747378752;2,5;0;0;
0,925;-31,125;12;0,000009999999747378752;2,5;0;0;
0,928;-31,125;12;0,000009999999747378752;2,5;0;0;
0,931;-31,125;12;0,000009999999747378752;2,5;0;0;
0,933;-31,125;12;0,000009999999747378752;2,5;0;0;
