time,ac_x,ac_x_f,ac_y,ac_y_f,
8.078,2.930000066757202,2.8753488063812256,1.7599999904632568,1.812882900238037,
8.088,2.940000057220459,2.920604705810547,1.9600000381469727,1.9158648252487183,
8.098,2.8499999046325684,2.8711814880371094,1.6200000047683716,1.7087594270706177,
8.108,3.3399999141693115,3.199354410171509,0.9100000262260437,1.1496278047561646,
8.118,3.7200000286102295,3.5638062953948975,0.7400000095367432,0.8628883361816406,
8.128,3.359999895095825,3.4211418628692627,1.1100000143051147,1.0358664989471436,
8.138,3.690000057220459,3.609342575073242,0.9200000166893005,0.954759955406189,
8.148,3.700000047683716,3.672802686691284,0.6299999952316284,0.7274280190467834,
8.158,3.3499999046325684,3.446840763092041,0.20000000298023224,0.3582284152507782,
8.168,3.640000104904175,3.582052230834961,-0.05999999865889549,0.06546853482723236,
8.178,4.070000171661377,3.9236156940460205,-0.1599999964237213,-0.09235943853855133,
8.188,3.7799999713897705,3.823084831237793,-0.10999999940395355,-0.10470782965421677,
8.198,3.869999885559082,3.8559253215789795,-0.4099999964237213,-0.31841233372688293,
8.208,4.269999980926514,4.145777702331543,-0.6899999976158142,-0.5785236954689026,
8.218,4.179999828338623,4.16973352432251,-0.9300000071525574,-0.8245571255683899,
8.228,4.070000171661377,4.09991979598999,-1.190000057220459,-1.080367088317871,
8.238,4.21999979019165,4.183975696563721,-1.409999966621399,-1.3111101388931274,
8.248,4.019999980926514,4.069192886352539,-1.6299999952316284,-1.5343329906463623,
8.258,3.690000057220459,3.803757905960083,-2.109999895095825,-1.9372998476028442,
8.268,3.8299999237060547,3.822127342224121,-2.3499999046325684,-2.2261898517608643,
8.278,3.7100000381469727,3.743638277053833,-2.380000114440918,-2.3338570594787598,
8.288,3.490000009536743,3.566091537475586,-2.890000104904175,-2.7231571674346924,
8.298,3.690000057220459,3.652827501296997,-3.2300000190734863,-3.0779471397399902,
8.308,3.700000047683716,3.6858482360839844,-3.359999895095825,-3.2753841876983643,
8.318,3.569999933242798,3.6047544479370117,-4.539999961853027,-4.16061544418335,
8.328,2.4200000762939453,2.7754263877868652,-4.309999942779541,-4.26518440246582,
8.338,2.7200000286102295,2.7366278171539307,-5.239999771118164,-4.947555065155029,
8.348,1.7300000190734863,2.0319883823394775,-5.090000152587891,-5.047266483306885,
8.358,2.7100000381469727,2.506596565246582,-6.099999904632568,-5.784180164337158,
8.368,1.9299999475479126,2.1029789447784424,-4.71999979019165,-5.039254188537598,
8.378,1.7000000476837158,1.82089364528656,-7.25,-6.586776256561279,
8.388,1.6399999856948853,1.6942681074142456,-6.46999979019165,-6.505033016204834,
8.398,0.9700000286102295,1.1872804164886475,-7.550000190734863,-7.236509799957275,
8.408,1.3300000429153442,1.2871841192245483,-6.75,-6.895953178405762,
8.418,1.1200000047683716,1.1701552867889404,-5.25,-5.743785858154297,
8.428,0.4099999964237213,0.6380465626716614,-3.7100000381469727,-4.320135593414307,
8.438,0.75,0.7164139747619629,-4.889999866485596,-4.719040870666504,
8.448,-1.2000000476837158,-0.6250757575035095,-4.800000190734863,-4.775712490081787,
8.458,-1.0099999904632568,-0.8945227265357971,-5.260000228881836,-5.114713668823242,
8.468,-1.159999966621399,-1.0803568363189697,-4.03000020980835,-4.355413913726807,
8.478,-1.6699999570846558,-1.4931070804595947,-5.010000228881836,-4.813623905181885,
8.488,-1.159999966621399,-1.2599321603775024,-4.539999961853027,-4.622087001800537,
8.498,-1.9299999475479126,-1.7289795875549316,-4.25,-4.361626148223877,
8.508,-2.8299999237060547,-2.4996938705444336,-4.869999885559082,-4.717487812042236,
8.518,-2.609999895095825,-2.5769081115722656,-4.210000038146973,-4.362246513366699,
8.528,-3.1500000953674316,-2.97807240486145,-4.440000057220459,-4.4166741371154785,
8.538,-2.2899999618530273,-2.4964218139648438,-4.900000095367432,-4.755002021789551,
8.548,-4.010000228881836,-3.555926561355591,-4.71999979019165,-4.7305006980896,
8.558,-4.380000114440918,-4.132778167724609,-4.659999847412109,-4.681149959564209,
8.568,-4.070000171661377,-4.088833332061768,-3.9600000381469727,-4.176344871520996,
8.578,-3.319999933242798,-3.550649881362915,-3.9800000190734863,-4.03890323638916,
8.588,-4.440000057220459,-4.173194885253906,-2.930000066757202,-3.2626709938049316,
8.598,-4.550000190734863,-4.436958312988281,-2.8499999046325684,-2.973801374435425,
8.608,-4.340000152587891,-4.3690876960754395,-2.7799999713897705,-2.8381404876708984,
8.618,-4.670000076293945,-4.579726219177246,-2.309999942779541,-2.46844220161438,
8.628,-4.96999979019165,-4.852917671203613,-1.8799999952316284,-2.056532621383667,
8.638,-4.789999961853027,-4.808875560760498,-1.5299999713897705,-1.6879597902297974,
8.648,-5.050000190734863,-4.977662563323975,-0.7200000286102295,-1.010387897491455,
8.658,-6.059999942779541,-5.7352986335754395,0.25999999046325684,-0.12111638486385345,
8.668,-5.260000228881836,-5.402589797973633,-0.4000000059604645,-0.31633490324020386,
